Location,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Status,Status_Description,Crime_Category,Weapon_desc,Weapon_cd,Mode_cd
4500    CARPENTER                    AV,0.683067081221915,-0.3043335241479514,3/09/2020 ,3/06/2020 ,18:00:00,0.6608105446200483,8,0.6888089598822243,-0.970955761839616,2.3329214008279027,2,14,-1.0464056451992767,174,2,2,4,33,PC_cd,385
45TH                         ST,-0.7833234616615615,1.1436513073457955,02/27/2020,02/27/2020,13:45:00,0.33312334808182736,9,0.3677146365982434,-0.970955761839616,0.10572927979334733,2,6,-0.5057659207355473,176,2,2,4,49,400.0,0906 0352 0371 0446 1822 0344 0416 0417
600 E  MARTIN LUTHER KING JR        BL,-0.7018573203902727,0.8939001382533834,08/21/2020,08/21/2020,06:05:00,0.33312334808182736,9,0.3283969643593886,1.0298428724832658,1.8088761958785957,2,1,0.8340803529354343,166,2,2,4,33,PC_cd,0329 1202
14900    ORO GRANDE                   ST,2.087621878321118,-0.9525426653037377,11/08/2020,11/06/2020,18:00:00,1.31618493769649,7,1.2802122798083322,-0.970955761839616,1.4158422921666152,2,6,-1.0464056451992767,174,2,2,4,33,PC_cd,0329 1300
300 N  AVENUE 57,0.295366770352417,1.5716599902560113,1/10/2020 ,1/10/2020 ,02:56:00,0.00543615154360652,10,-0.0402062128798753,1.0298428724832658,0.6952801353613178,2,6,0.8387815679307711,132,1,1,5,49,400.0,0446 0416
12600    BRADDOCK                     DR,-0.9442927046554375,-0.6179523586189029,10/07/2021,03/19/2020,11:00:00,0.4969669463509378,12,0.5118794348073777,-0.970955761839616,1.874381846497259,0,14,0.8387815679307711,132,2,2,4,33,PC_cd,1606 0344
11500    AVIATION                     BL,-1.4998328969393016,-0.18422418328666962,7/07/2020 ,7/07/2020 ,04:45:00,0.4969669463509378,12,0.5839618339119449,1.0298428724832658,-1.1388780819612572,0,6,-1.0134971402319193,147,0,0,4,33,PC_cd,0329 1300 1402
MASON                        AV,1.6783281324159032,-2.2136907443465867,01/21/2020,1/07/2020 ,12:00:00,0.9884977411582692,2,0.998435628763206,1.0298428724832658,-1.1388780819612572,0,14,0.8387815679307711,132,1,1,3,29,OC_cd,1501 0513 0514 0913 1814
5800    BONSALLO                     AV,-0.9334959871376137,0.6965776496956118,6/11/2020 ,6/11/2020 ,14:30:00,0.16927974981271696,0,0.1580203846576844,-0.970955761839616,-1.1388780819612572,2,6,-0.9523813452925411,200,2,2,5,59,511.0,1822 0319 0400 0416 0429 0417 0342
AFTON,0.11574865164584142,0.29907292636926297,02/22/2020,02/22/2020,02:15:00,-0.8137818398019456,6,-0.7806890400449743,-0.970955761839616,0.6952801353613178,2,14,-1.04170443020394,165,2,2,1,32,207.0,0334 2004
23100    SHERMAN                      WY,1.150270493814,-2.5825980055631192,08/17/2020,08/17/2020,13:15:00,1.643872134234711,16,1.6226036755550262,-0.970955761839616,0.4332575328866643,0,10,-0.5668817156749254,140,2,2,4,33,PC_cd,1420 0344
2800    WESTSHIRE                    DR,0.3807589907211786,0.36961333290670995,9/08/2020 ,9/08/2020 ,16:30:00,-0.8137818398019456,6,-0.8445802574331134,1.0298428724832658,-0.5493272263932867,2,14,0.8340803529354343,166,1,1,1,56,500.0,0347 1822
3200    GRAND VIEW                   BL,-0.6635780491904879,-0.7609396691679834,06/25/2020,3/12/2020 ,14:00:00,0.4969669463509378,12,0.4610941081655236,-0.970955761839616,2.1364044489719127,2,10,-0.5668817156749254,140,2,2,4,33,PC_cd,PC_MO
700 W  OLYMPIC                      BL,-0.37501123553066235,0.9177313566782076,9/11/2020 ,9/11/2020 ,01:05:00,-1.6329998311474978,1,-1.573595430195213,1.0298428724832658,-1.1388780819612572,0,14,0.8387815679307711,132,2,2,5,49,400.0,1822 1414 1251 0448
7900    KESTER                       AV,1.2965169401925796,-0.9287114468789135,03/23/2020,03/20/2020,15:30:00,1.31618493769649,7,1.3948888238383255,1.0298428724832658,-0.8768554794866036,0,6,-0.9476801302972044,195,2,2,4,33,PC_cd,329
CHEROKEE,0.1510833635225391,0.22662602235762952,2/12/2021 ,2/12/2020 ,20:30:00,-0.8137818398019456,6,-0.8134537669106866,-0.970955761839616,-0.09078767206264286,2,6,-1.0464056451992767,174,2,2,4,33,PC_cd,0400 0344
6200    KESTER                       AV,0.9824306123995641,-0.9382439342487618,08/26/2020,08/24/2020,11:00:00,-0.3222510449946143,17,-0.3432799363877145,-0.970955761839616,-0.15629332268130625,2,14,0.8387815679307711,132,2,2,4,33,PC_cd,344
4000    TRINITY                      ST,-0.7067649192620615,0.8452844526667096,10/29/2020,10/28/2020,22:30:00,0.33312334808182736,9,0.3464175641355304,1.0298428724832658,0.1712349304120107,0,6,-1.0464056451992767,174,1,1,1,10,CAPO_cd,913
6000    LASAINE                      AV,0.9461143807485505,-1.4434657648554676,06/14/2020,06/13/2020,21:30:00,-0.15840744672550391,19,-0.15652099325315413,-0.970955761839616,0.04022362917468393,2,6,1.8025306419748106,58,1,1,4,33,PC_cd,1822 0344
6200 S  RIMPAU                       BL,-0.9717752583373289,0.18468307792999858,12/27/2020,12/24/2020,18:00:00,0.16927974981271696,0,0.14491449391139943,-0.970955761839616,0.8917970872173081,2,1,-1.0464056451992767,174,2,2,4,33,PC_cd,1300 0341 0385 0344 1822
NORDHOFF,1.4830056973196453,-0.9906726147834021,09/17/2020,09/17/2020,07:30:00,1.31618493769649,7,1.3588476242860419,-0.970955761839616,-0.5493272263932867,0,6,-1.0464056451992767,174,0,0,5,58,307.0,2000 1309 1814 1310 0913 0906 0416
4200    MURIETTA                     AV,0.6261389343094305,-0.755220176745966,6/04/2020 ,4/01/2020 ,12:00:00,-0.3222510449946143,17,-0.2580916465368624,1.0298428724832658,1.3503366415479519,0,14,0.8340803529354343,166,2,2,2,17,FWCC_cd,0100 0928 1822
13900    POLK                         ST,2.3673550140117516,-0.7590331716939324,2/06/2020 ,2/06/2020 ,22:15:00,1.31618493769649,7,1.2474475529426199,1.0298428724832658,-0.6803385276306134,2,6,0.8340803529354343,166,0,0,5,49,400.0,2000 0401 1813
19100    INGOMAR                      ST,1.2700159062850738,-1.8123730260721358,12/31/2020,12/31/2020,08:30:00,-0.15840744672550391,19,-0.23187986504429253,1.0298428724832658,-0.8768554794866036,0,14,0.8340803529354343,166,1,1,5,49,400.0,0400 2000 0913 1814 0444
23200    GONZALES                     DR,0.8155722507595835,-2.602616229039977,2/05/2020 ,2/01/2020 ,08:00:00,1.643872134234711,16,1.688133129286451,-0.970955761839616,-1.7284289375292277,0,14,0.8716900728981285,85,2,2,5,49,400.0,1258 1402 0527 1415 1822
13400    CORNELIUS                    ST,1.9335232737477324,-0.6179523586189029,10/01/2020,09/30/2020,16:00:00,0.8246541428891587,3,0.767444304359934,1.0298428724832658,-0.41831592515595983,2,6,1.8025306419748106,58,2,2,5,49,400.0,0416 0913 0429
18700    SUNBURST                     ST,1.4918393752888373,-1.7275338884797131,1/01/2020 ,1/01/2020 ,00:15:00,0.9884977411582692,2,1.0524974280916315,1.0298428724832658,-0.8113498288679402,0,14,-1.0370032152086033,3,1,1,5,49,400.0,0419 0429 0913 0361
10100    BARTEE                       AV,1.6793096521902886,-0.7285292121102008,4/08/2020 ,4/08/2020 ,20:55:00,1.31618493769649,7,1.3375505518233288,1.0298428724832658,-1.597417636291901,2,6,0.8340803529354343,166,1,1,5,49,400.0,416
25TH                         ST,-0.666522608513575,1.092175875548045,12/16/2020,12/16/2020,01:40:00,0.33312334808182736,9,0.3021851828668187,-0.970955761839616,-0.41831592515595983,2,6,-1.04170443020394,165,1,1,5,20,102.0,1100 0432 0430 1309 2004 1218 0913
6700    CEDROS                       AV,1.078619550286219,-0.8963009898211309,01/29/2021,12/19/2020,22:51:00,-0.3222510449946143,17,-0.3596622998205707,-0.970955761839616,-1.0733724313425939,2,14,-1.0464056451992767,174,2,2,4,33,PC_cd,1302 1300 1822 0321 0344
15700    WOODVALE                     RD,0.6899377196424052,-1.1041092144857765,07/30/2020,07/29/2020,19:30:00,-0.15840744672550391,19,-0.0877150668351582,-0.970955761839616,2.2674157502092394,0,10,0.8340803529354343,166,2,2,4,33,PC_cd,0344 1607 1202 1822 0379 1275 1420
11200    COVELLO                      ST,1.2258475164391842,-0.1699254522318293,12/23/2020,12/18/2020,13:30:00,0.6608105446200483,8,0.5954294883149441,1.0298428724832658,-0.6803385276306134,0,6,1.3089030674644488,12,2,2,2,17,FWCC_cd,0922 0377
7800    CLYBOURN                     AV,1.2709974260593897,-0.04504986768555561,05/18/2020,05/18/2020,04:20:00,0.8246541428891587,3,0.9099708662257827,-0.970955761839616,1.546853593403942,2,6,-1.0134971402319193,147,2,2,4,33,PC_cd,0344 1607
