Location,Latitude,Longitude,Date_Reported,Date_Occurred,Time_Occurred,Area_ID,Area_Name,Reporting_District_no,Part 1-2,Victim_Age,Victim_Sex,Victim_Descent,Premise_Code,Premise_Description,Status,Status_Description,Crime_Category,Weapon_desc,Weapon_cd,Mode_cd
4500    CARPENTER                    AV,34.1522,-118.391,3/09/2020 ,3/06/2020 ,18:00:00,15,N Hollywood,1563,1,75,M,W,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,385
45TH                         ST,34.0028,-118.2391,02/27/2020,02/27/2020,13:45:00,13,Newton,1367,1,41,M,H,216,SWAP MEET,IC,Invest Cont,Property Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0906 0352 0371 0446 1822 0344 0416 0417
600 E  MARTIN LUTHER KING JR        BL,34.0111,-118.2653,08/21/2020,08/21/2020,06:05:00,13,Newton,1343,2,67,M,B,501,SINGLE FAMILY DWELLING,IC,Invest Cont,Property Crimes,PC,PC_cd,0329 1202
14900    ORO GRANDE                   ST,34.2953,-118.459,11/08/2020,11/06/2020,18:00:00,19,Mission,1924,1,61,M,H,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,0329 1300
300 N  AVENUE 57,34.1127,-118.1942,1/10/2020 ,1/10/2020 ,02:56:00,11,Northeast,1118,2,50,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,0446 0416
12600    BRADDOCK                     DR,33.9864,-118.4239,10/07/2021,03/19/2020,11:00:00,14,Pacific,1455,1,68,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Property Crimes,PC,PC_cd,1606 0344
11500    AVIATION                     BL,33.9298,-118.3784,7/07/2020 ,7/07/2020 ,04:45:00,14,Pacific,1499,2,22,F,H,108,PARKING LOT,AA,Adult Arrest,Property Crimes,PC,PC_cd,0329 1300 1402
MASON                        AV,34.2536,-118.5913,01/21/2020,1/07/2020 ,12:00:00,17,Devonshire,1752,2,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",AO,Adult Other,Other Crimes,OC,OC_cd,1501 0513 0514 0913 1814
5800    BONSALLO                     AV,33.9875,-118.286,6/11/2020 ,6/11/2020 ,14:30:00,12,77th Street,1239,1,22,M,H,121,YARD (RESIDENTIAL/BUSINESS),IC,Invest Cont,Violent Crimes,VERBAL THREAT,511.0,1822 0319 0400 0416 0429 0417 0342
AFTON,34.0944,-118.3277,02/22/2020,02/22/2020,02:15:00,6,Hollywood,666,1,50,M,W,102,SIDEWALK,IC,Invest Cont,Crimes against Public Order,OTHER KNIFE,207.0,0334 2004
23100    SHERMAN                      WY,34.1998,-118.63,08/17/2020,08/17/2020,13:15:00,21,Topanga,2133,1,46,F,O,203,OTHER BUSINESS,IC,Invest Cont,Property Crimes,PC,PC_cd,1420 0344
2800    WESTSHIRE                    DR,34.1214,-118.3203,9/08/2020 ,9/08/2020 ,16:30:00,6,Hollywood,627,2,31,M,W,501,SINGLE FAMILY DWELLING,AO,Adult Other,Crimes against Public Order,UNKNOWN WEAPON/OTHER WEAPON,500.0,0347 1822
3200    GRAND VIEW                   BL,34.015,-118.4389,06/25/2020,3/12/2020 ,14:00:00,14,Pacific,1424,1,72,M,O,203,OTHER BUSINESS,IC,Invest Cont,Property Crimes,PC,PC_cd,PC_MO
700 W  OLYMPIC                      BL,34.0444,-118.2628,9/11/2020 ,9/11/2020 ,01:05:00,1,Central,182,2,22,F,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,Invest Cont,Violent Crimes,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",400.0,1822 1414 1251 0448
7900    KESTER                       AV,34.2147,-118.4565,03/23/2020,03/20/2020,15:30:00,19,Mission,1994,2,26,F,H,122,"VEHICLE, PASSENGER/TRUCK",IC,Invest Cont,Property Crimes,PC,PC_cd,329
CHEROKEE,34.098,-118.3353,2/12/2021 ,2/12/2020 ,20:30:00,6,Hollywood,646,1,38,M,H,101,STREET,IC,Invest Cont,Property Crimes,PC,PC_cd,0400 0344
